#x1 x2 x3 x4 x5 y2 y
0.0 0.0 0.0 0.0 0.0 0.0 0.0
0.05 0.0025 0.000125 6.25e-06 3.125e-07 0.0499791692707 0.0499791692707
0.1 0.01 0.001 0.0001 1e-05 0.0998334166468 0.0998334166468
0.15 0.0225 0.003375 0.00050625 7.59375e-05 0.149438132474 0.149438132474
0.2 0.04 0.008 0.0016 0.00032 0.198669330795 0.198669330795
0.25 0.0625 0.015625 0.00390625 0.0009765625 0.247403959255 0.247403959255
0.3 0.09 0.027 0.0081 0.00243 0.295520206661 0.295520206661
0.35 0.1225 0.042875 0.01500625 0.0052521875 0.342897807455 0.342897807455
0.4 0.16 0.064 0.0256 0.01024 0.389418342309 0.389418342309
0.45 0.2025 0.091125 0.04100625 0.0184528125 0.434965534111 0.434965534111
0.5 0.25 0.125 0.0625 0.03125 0.479425538604 0.479425538604
0.55 0.3025 0.166375 0.09150625 0.0503284375 0.522687228931 0.522687228931
0.6 0.36 0.216 0.1296 0.07776 0.564642473395 0.564642473395
0.65 0.4225 0.274625 0.17850625 0.1160290625 0.605186405736 0.605186405736
0.7 0.49 0.343 0.2401 0.16807 0.644217687238 0.644217687238
0.75 0.5625 0.421875 0.31640625 0.2373046875 0.681638760023 0.681638760023
0.8 0.64 0.512 0.4096 0.32768 0.7173560909 0.7173560909
0.85 0.7225 0.614125 0.52200625 0.4437053125 0.75128040514 0.75128040514
0.9 0.81 0.729 0.6561 0.59049 0.783326909627 0.783326909627
0.95 0.9025 0.857375 0.81450625 0.7737809375 0.813415504789 0.813415504789
1.0 1.0 1.0 1.0 1.0 0.841470984808 0.841470984808
1.05 1.1025 1.157625 1.21550625 1.2762815625 0.867423225594 0.867423225594
1.1 1.21 1.331 1.4641 1.61051 0.891207360061 0.891207360061
1.15 1.3225 1.520875 1.74900625 2.0113571875 0.912763940261 0.912763940261
1.2 1.44 1.728 2.0736 2.48832 0.932039085967 0.932039085967
1.25 1.5625 1.953125 2.44140625 3.0517578125 0.948984619356 0.948984619356
1.3 1.69 2.197 2.8561 3.71293 0.963558185417 0.963558185417
1.35 1.8225 2.460375 3.32150625 4.4840334375 0.975723357827 0.975723357827
1.4 1.96 2.744 3.8416 5.37824 0.985449729988 0.985449729988
1.45 2.1025 3.048625 4.42050625 6.4097340625 0.992712991038 0.992712991038
1.5 2.25 3.375 5.0625 7.59375 0.997494986604 0.997494986604
1.55 2.4025 3.723875 5.77200625 8.9466096875 0.999783764189 0.999783764189
1.6 2.56 4.096 6.5536 10.48576 0.999573603042 0.999573603042
1.65 2.7225 4.492125 7.41200625 12.2298103125 0.996865028454 0.996865028454
1.7 2.89 4.913 8.3521 14.19857 0.991664810452 0.991664810452
1.75 3.0625 5.359375 9.37890625 16.4130859375 0.983985946874 0.983985946874
